post_id,status,requested_slug,actual_slug,error
11386,OK,"benjamin-brafman","benjamin-brafman",""
11382,OK,"dentons","dentons",""
11379,OK,"skadden-arps-slate-meagher-flom","skadden-arps-slate-meagher-flom",""
11374,OK,"latham-watkins","latham-watkins",""
11370,OK,"co-op-legal-services","co-op-legal-services",""
11367,OK,"law-firms-in-fiction","law-firms-in-fiction",""
11364,OK,"farrer-co","farrer-co",""
11359,OK,"cordell-cordell","cordell-cordell",""
11355,OK,"kirkland-ellis","kirkland-ellis",""
11351,FAIL,"cms-law-firm","","409: ""<h1>Publication blocked</h1><p>This content still contains internal editorial/project markers and was not published.</p><p><strong>Detected markers:</strong> <code>CMS</code></p><p>Keep the post as draft, move internal notes to the internal editorial note, then publish only the public-facing Hebrew article body.</p>"""
11345,OK,"dla-piper","dla-piper",""
11341,OK,"perez-llorca","perez-llorca",""
11338,OK,"rita-judice","rita-judice",""
11328,OK,"portuguese-bar-association","portuguese-bar-association",""
11325,OK,"sofia-galvao","sofia-galvao",""
11314,OK,"anthony-julius","anthony-julius",""
11310,OK,"james-sexton-attorney","james-sexton-attorney",""
11307,OK,"robert-stephan-cohen","robert-stephan-cohen",""
11303,OK,"wachtell-lipton-rosen-katz","wachtell-lipton-rosen-katz",""
11300,OK,"baker-mckenzie","baker-mckenzie",""
11293,OK,"findlaw","findlaw",""
11290,OK,"legalzoom","legalzoom",""
11287,OK,"rocket-lawyer","rocket-lawyer",""
11285,OK,"nolo","nolo",""
11276,OK,"lawyer-referral-service","lawyer-referral-service",""
11274,OK,"virtual-law-firm","virtual-law-firm",""
11271,OK,"unbundled-legal-services","unbundled-legal-services",""
11266,OK,"divorce-law-in-sweden","divorce-law-in-sweden",""
11252,OK,"costa-rica-lawyers","costa-rica-lawyers",""
11250,OK,"portugal-overview-real-estate","portugal-overview-real-estate",""
11247,OK,"is-portugal-a-good-place-to-retire","is-portugal-a-good-place-to-retire",""
11237,OK,"real-estate-comparative-guide","real-estate-comparative-guide",""
11232,OK,"buying-property-in-portugal","buying-property-in-portugal",""
11220,OK,"foreign-legal-opinion","foreign-legal-opinion",""
11211,OK,"investing-in-argentina","investing-in-argentina",""
11205,OK,"unequal-pension-split-verdict-against-husband","unequal-pension-split-verdict-against-husband",""
11198,OK,"liechtenstein","liechtenstein",""
11196,OK,"monaco-lawyer","monaco-lawyer",""
11184,OK,"new-jersey-lawyers","new-jersey-lawyers",""
11179,OK,"segro","segro",""
11176,OK,"vonovia","vonovia",""
11170,FAIL,"property-management","","409: ""<h1>Publication blocked</h1><p>This content still contains internal editorial/project markers and was not published.</p><p><strong>Detected markers:</strong> <code>CRM</code></p><p>Keep the post as draft, move internal notes to the internal editorial note, then publish only the public-facing Hebrew article body.</p>"""
11166,OK,"lawyer-netherlands","lawyer-netherlands",""
11150,OK,"philosophy-of-law","philosophy-of-law",""
11131,OK,"prosecutor","prosecutor",""
11082,OK,"czech-lawyers","czech-lawyers",""
10951,OK,"antigua-and-barbuda-lawyers","antigua-and-barbuda-lawyers",""
