priority,recommendation,cluster,title,candidate_url,post_id,post_type,live_status,clicks,impressions,reasons,gsc_risk,gsc_matched,gsc_top_queries,status,safety_gate
"P0","PROTECT_AND_REWRITE_OR_MERGE","criminal-law","כמה עולה ייצוג עורך דין פלילי? | מחירון מומלץ 2024","https://jus-tice.co.il/how-much-will-a-criminal-defense-lawyer-cost","2885","articles","200","224","23313","trust_claim_review|gsc_do_not_touch_high_traffic_url","HIGH","YES","UNKNOWN","KEEP_CURRENT_CLEAN_SLUG","OWNER_GSC_REVIEW_REQUIRED_BEFORE_NOINDEX_DELETE_REDIRECT"
"P0","PROTECT_AND_REWRITE_OR_MERGE","criminal-law","מדריך 2025 לקראת חקירה במס הכנסה – כל מה שצריך לדעת | חקירות מס הכנסה ועבירות מס","https://jus-tice.co.il/tax-investigation-guide","12436","articles","200","115","22811","gsc_do_not_touch_high_traffic_url","HIGH","YES","UNKNOWN","KEEP_CURRENT_CLEAN_SLUG","OWNER_GSC_REVIEW_REQUIRED_BEFORE_NOINDEX_DELETE_REDIRECT"
"P0","PROTECT_AND_REWRITE_OR_MERGE","needs-classification","6 סוגים שונים של עורכי דין מומלצים לבעלי עסקים קטנים","https://jus-tice.co.il/types-of-lawyers-small-business","3550","articles","200","38","21508","trust_claim_review|gsc_do_not_touch_high_traffic_url","HIGH","YES","UNKNOWN","KEEP_CURRENT_CLEAN_SLUG","OWNER_GSC_REVIEW_REQUIRED_BEFORE_NOINDEX_DELETE_REDIRECT"
"P0","PROTECT_AND_REWRITE_OR_MERGE","employment-law","הודעה מוקדמת לפיטורים | דוגמא למכתב פיטורין","https://jus-tice.co.il/notice-of-termination","2196","articles","","115","21275","gsc_do_not_touch_high_traffic_url","HIGH","YES","UNKNOWN","KEEP_CURRENT_CLEAN_SLUG","OWNER_GSC_REVIEW_REQUIRED_BEFORE_NOINDEX_DELETE_REDIRECT"
"P0","PROTECT_AND_REWRITE_OR_MERGE","employment-law","UNKNOWN","https://jus-tice.co.il/%D7%94%D7%9E%D7%93%D7%A8%D7%99%D7%9A-%D7%94%D7%9E%D7%9C%D7%90-%D7%9C%D7%A7%D7%A0%D7%99%D7%99%D7%94-%D7%94%D7%A9%D7%9B%D7%A8%D7%94-%D7%95-airbnb-%D7%91%D7%97%D7%95%D7%9C","","gsc-url","","44","20969","direct_gsc_high_value_url|gsc_do_not_touch_high_traffic_url","HIGH","YES","UNKNOWN","DO_NOT_TOUCH_HIGH_TRAFFIC_URL","OWNER_GSC_REVIEW_REQUIRED_BEFORE_NOINDEX_DELETE_REDIRECT"
"P0","PROTECT_AND_REWRITE_OR_MERGE","needs-classification","עו”ד הסכם ממון | עורך דין מומלץ הסכם ממון","https://jus-tice.co.il/prenup-attorney","1224","articles","200","1","20894","trust_claim_review|gsc_do_not_touch_high_traffic_url","HIGH","YES","עורך דין הסכם ממון (0c/349i/p57.5) | עורכי דין הסכם ממון (0c/154i/p62.8) | עורך דין להסכמי ממון (0c/81i/p58.6) | עו""ד הסכם ממון (0c/70i/p66.1) | הסכם ממון ללא עורך דין (0c/67i/p54.3)","KEEP_CURRENT_CLEAN_SLUG","OWNER_GSC_REVIEW_REQUIRED_BEFORE_NOINDEX_DELETE_REDIRECT"
"P0","PROTECT_AND_REWRITE_OR_MERGE","needs-classification","דרכון רומני | קבלת אזרחות רומנית","https://jus-tice.co.il/romanian-passport","9752","articles","200","13","20866","gsc_do_not_touch_high_traffic_url","HIGH","YES","UNKNOWN","KEEP_CURRENT_CLEAN_SLUG","OWNER_GSC_REVIEW_REQUIRED_BEFORE_NOINDEX_DELETE_REDIRECT"
"P0","PROTECT_AND_REWRITE_OR_MERGE","needs-classification","השקעות נדל”ן בקפריסין 2024 | ‫עלויות נדל”ן קפריסין","https://jus-tice.co.il/buy-real-estate-cyprus","10411","articles","200","1","20704","gsc_do_not_touch_high_traffic_url","HIGH","YES","UNKNOWN","KEEP_CURRENT_CLEAN_SLUG","OWNER_GSC_REVIEW_REQUIRED_BEFORE_NOINDEX_DELETE_REDIRECT"
"P0","PROTECT_AND_REWRITE_OR_MERGE","criminal-law","עונש מורשע בעבירות של גרם מוות ברשלנות בתאונת דרכים | עורך דין תעבורה פלילי","https://jus-tice.co.il/traffic-lawyer","5609","articles","200","0","20330","duplicate_or_target_slug_conflict|gsc_do_not_touch_high_traffic_url","HIGH","YES","UNKNOWN","TARGET_SLUG_CONFLICT_NEEDS_REVIEW","OWNER_GSC_REVIEW_REQUIRED_BEFORE_NOINDEX_DELETE_REDIRECT"
"P0","PROTECT_AND_REWRITE_OR_MERGE","traffic-law","תיקון 101 לפקודת התעבורה סיכון חיי אדם הפקרה | עורך דין תעבורה","https://jus-tice.co.il/traffic-lawyer","5604","articles","200","0","20330","duplicate_or_target_slug_conflict|gsc_do_not_touch_high_traffic_url","HIGH","YES","UNKNOWN","TARGET_SLUG_CONFLICT_NEEDS_REVIEW","OWNER_GSC_REVIEW_REQUIRED_BEFORE_NOINDEX_DELETE_REDIRECT"
