"source_url","target_url","anchor_text","link_type","reason","priority","status"
"http://jus-tice.co.il/cyber-lawyer/","https://jus-tice.co.il/attachment/%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%A1%D7%99%D7%99%D7%91%D7%A8/","","article_to_internal","Extracted from public REST rendered content","MEDIUM","EXPORTED_NEEDS_REVIEW"
"http://jus-tice.co.il/trusted-divorce-attorney-guide/","https://jus-tice.co.il/trusted-divorce-attorney-guide/attachment/trusted-divorce-attorney/","","article_to_internal","Extracted from public REST rendered content","MEDIUM","EXPORTED_NEEDS_REVIEW"
"http://jus-tice.co.il/costa-rica-lawyers/","https://jus-tice.co.il/costa-rica-lawyers/attachment/flag_of_costa_rica-svg/","","article_to_lawyer","Extracted from public REST rendered content","MEDIUM","EXPORTED_NEEDS_REVIEW"
"http://jus-tice.co.il/unequal-pension-split-verdict-against-husband/","https://jus-tice.co.il/unequal-pension-split-verdict-against-husband/attachment/%D7%A4%D7%A0%D7%A1%D7%99%D7%94-%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-2024/","","article_to_internal","Extracted from public REST rendered content","MEDIUM","EXPORTED_NEEDS_REVIEW"
"http://jus-tice.co.il/property-management/","https://jus-tice.co.il/property-management/attachment/%D7%A0%D7%99%D7%94%D7%95%D7%9C-%D7%A0%D7%9B%D7%A1%D7%99%D7%9D/","","article_to_internal","Extracted from public REST rendered content","MEDIUM","EXPORTED_NEEDS_REVIEW"
"http://jus-tice.co.il/apartment/","https://jus-tice.co.il/apartment/attachment/%D7%AA%D7%94%D7%9C%D7%99%D7%9A-%D7%A7%D7%A0%D7%99%D7%99%D7%AA-%D7%93%D7%99%D7%A8%D7%94-%D7%91%D7%97%D7%95%D7%A5-%D7%9C%D7%90%D7%A8%D7%A5/","","article_to_internal","Extracted from public REST rendered content","MEDIUM","EXPORTED_NEEDS_REVIEW"
"http://jus-tice.co.il/legal_defense_fund/","https://jus-tice.co.il/attachment/%D7%A7%D7%A8%D7%9F-%D7%94%D7%92%D7%A0%D7%94-%D7%9E%D7%A9%D7%A4%D7%98%D7%99%D7%AA-2/","","article_to_internal","Extracted from public REST rendered content","MEDIUM","EXPORTED_NEEDS_REVIEW"
"http://jus-tice.co.il/invest-in-portugal-for-citizenship/","https://jus-tice.co.il/attachment/%D7%95%D7%99%D7%96%D7%94-%D7%96%D7%94%D7%91-%D7%92%D7%95%D7%9C%D7%93%D7%9F-%D7%95%D7%99%D7%96%D7%94/","","article_to_internal","Extracted from public REST rendered content","MEDIUM","EXPORTED_NEEDS_REVIEW"
"http://jus-tice.co.il/portugal-real-estate/","https://jus-tice.co.il/portugal-golden-visa-property-guide/attachment/portugal-real-estate/","","article_to_internal","Extracted from public REST rendered content","MEDIUM","EXPORTED_NEEDS_REVIEW"
"http://jus-tice.co.il/decision42377-09-22/","https://jus-tice.co.il/attachment/42377-09-22/","","article_to_internal","Extracted from public REST rendered content","MEDIUM","EXPORTED_NEEDS_REVIEW"
"http://jus-tice.co.il/real-estate-malta/","https://jus-tice.co.il/golden-visa/","","article_to_internal","Extracted from public REST rendered content","MEDIUM","EXPORTED_NEEDS_REVIEW"
"http://jus-tice.co.il/real-estate-malta/","https://jus-tice.co.il/malta-citizenship-by-investment/","","article_to_internal","Extracted from public REST rendered content","MEDIUM","EXPORTED_NEEDS_REVIEW"
"http://jus-tice.co.il/real-estate-malta/","https://jus-tice.co.il/malta-lawyers/","","article_to_lawyer","Extracted from public REST rendered content","MEDIUM","EXPORTED_NEEDS_REVIEW"
"http://jus-tice.co.il/malta-citizenship-by-investment/","http://jus-tice.co.il/real-estate-malta/","","article_to_internal","Extracted from public REST rendered content","MEDIUM","EXPORTED_NEEDS_REVIEW"
"http://jus-tice.co.il/malta-citizenship-by-investment/","https://jus-tice.co.il/malta-lawyers/","","article_to_lawyer","Extracted from public REST rendered content","MEDIUM","EXPORTED_NEEDS_REVIEW"
"http://jus-tice.co.il/avoiding-mistakes-when-buying-property-in-cyprus/","https://jus-tice.co.il/cyprus-lawyer/","","article_to_internal","Extracted from public REST rendered content","MEDIUM","EXPORTED_NEEDS_REVIEW"
"http://jus-tice.co.il/decision22431-08-19/","https://jus-tice.co.il/attachment/%D7%AA%D7%A7%D7%A6%D7%99%D7%A8-22431-08-19/","","article_to_internal","Extracted from public REST rendered content","MEDIUM","EXPORTED_NEEDS_REVIEW"
"http://jus-tice.co.il/thailand-real-estate/","https://jus-tice.co.il/thailand-civil-code/","","article_to_internal","Extracted from public REST rendered content","MEDIUM","EXPORTED_NEEDS_REVIEW"
"http://jus-tice.co.il/real-estate-investment-strategies-for-2023/","https://jus-tice.co.il/attachment/real-estate-trends/","","article_to_internal","Extracted from public REST rendered content","MEDIUM","EXPORTED_NEEDS_REVIEW"
